algorithm,instance,run,distance,time,meta_alpha,meta_beta
"Ant Colony (ants=20, α=0.5, β=2.5)",euclidean_20_0,,382.5296983989735,0.6760364000001573,0.5,2.5
"Ant Colony (ants=20, α=1.0, β=2.5)",euclidean_20_0,,382.0502850180152,0.6077254000010726,1.0,2.5
"Ant Colony (ants=20, α=1.5, β=2.0)",euclidean_20_0,,382.0502850180152,0.4943440000024566,1.5,2.0
"Ant Colony (ants=20, α=2.0, β=1.5)",euclidean_20_0,,382.0502850180152,0.5185491000011098,2.0,1.5
"Ant Colony (ants=20, α=2.5, β=1.0)",euclidean_20_0,,383.5528077366847,0.49346560000049067,2.5,1.0
"Ant Colony (ants=20, α=0.5, β=2.5)",euclidean_20_1,,367.5782061643623,0.5148402000013448,0.5,2.5
"Ant Colony (ants=20, α=1.0, β=2.5)",euclidean_20_1,,367.5782061643623,0.5201981999998679,1.0,2.5
"Ant Colony (ants=20, α=1.5, β=2.0)",euclidean_20_1,,367.5782061643623,0.6740629000014451,1.5,2.0
"Ant Colony (ants=20, α=2.0, β=1.5)",euclidean_20_1,,367.5782061643623,0.7140282999971532,2.0,1.5
"Ant Colony (ants=20, α=2.5, β=1.0)",euclidean_20_1,,367.5782061643623,0.7424417000001995,2.5,1.0
"Ant Colony (ants=20, α=0.5, β=2.5)",euclidean_20_2,,394.3488143204167,0.5518033000007563,0.5,2.5
"Ant Colony (ants=20, α=1.0, β=2.5)",euclidean_20_2,,394.3488143204167,0.5919477999996161,1.0,2.5
"Ant Colony (ants=20, α=1.5, β=2.0)",euclidean_20_2,,394.3488143204167,0.637102299999242,1.5,2.0
"Ant Colony (ants=20, α=2.0, β=1.5)",euclidean_20_2,,394.3488143204167,0.6963845999998739,2.0,1.5
"Ant Colony (ants=20, α=2.5, β=1.0)",euclidean_20_2,,394.3488143204167,0.7202900000011141,2.5,1.0
