algorithm,instance,run,distance,time,meta_initial_temperature
"Simulated Annealing (T=100, α=0.98)",euclidean_20_0,,460.74654562924206,0.007482099998014746,100
"Simulated Annealing (T=500, α=0.98)",euclidean_20_0,,418.6829178473283,0.007067800001095748,500
"Simulated Annealing (T=1000, α=0.98)",euclidean_20_0,,400.694629020371,0.00813679999919259,1000
"Simulated Annealing (T=5000, α=0.98)",euclidean_20_0,,462.09713551538226,0.010738400000263937,5000
"Simulated Annealing (T=10000, α=0.98)",euclidean_20_0,,462.09713551538226,0.008587199998146389,10000
"Simulated Annealing (T=100, α=0.98)",euclidean_20_1,,367.5782061643623,0.006470099997386569,100
"Simulated Annealing (T=500, α=0.98)",euclidean_20_1,,367.5782061643623,0.008326200000738027,500
"Simulated Annealing (T=1000, α=0.98)",euclidean_20_1,,367.5782061643623,0.009747000000061234,1000
"Simulated Annealing (T=5000, α=0.98)",euclidean_20_1,,367.5782061643623,0.009373200002301019,5000
"Simulated Annealing (T=10000, α=0.98)",euclidean_20_1,,367.5782061643623,0.010587199998553842,10000
"Simulated Annealing (T=100, α=0.98)",euclidean_20_2,,442.2209061007223,0.006794599998102058,100
"Simulated Annealing (T=500, α=0.98)",euclidean_20_2,,442.2209061007223,0.007971299997734604,500
"Simulated Annealing (T=1000, α=0.98)",euclidean_20_2,,442.2209061007223,0.007662399999389891,1000
"Simulated Annealing (T=5000, α=0.98)",euclidean_20_2,,442.2209061007223,0.008654399996885331,5000
"Simulated Annealing (T=10000, α=0.98)",euclidean_20_2,,442.2209061007223,0.009640599997510435,10000
